Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/29/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/26/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/25/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/24/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/23/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/22/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/19/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/18/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/17/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/16/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/15/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/12/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/11/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/10/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/9/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/5/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/4/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/2/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/1/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/28/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/27/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/26/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/25/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/24/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/21/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/20/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/19/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/18/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
11/17/2014,"2,050.00",,,"2,050.00",0.00,0,0,0
12/30/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/29/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/28/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/25/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/24/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/23/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/22/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/21/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/18/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/17/2015,"2,000.00",,,"2,000.00",0.00,0,0,0
12/16/2015,"2,000.00","2,000.00","2,000.00","2,000.00",-2.44,10,"20,000","20,000"
12/15/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
12/14/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
12/11/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
12/10/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
12/9/2015,"2,050.00",,,"2,050.00",0.00,0,0,"10,646,000"
12/7/2015,"2,050.00",,,"2,050.00",0.00,0,0,"6,600,000"
12/4/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
12/3/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
12/1/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/30/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/27/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/26/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/25/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/24/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/23/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/20/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/19/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/18/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/17/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/16/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/13/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/12/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/11/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
11/10/2015,"2,050.00",,,"2,050.00",0.00,0,0,0
