Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/29/2016,184.00,,,184.00,0.00,0,0,0
12/28/2016,184.00,,,184.00,0.00,0,0,0
12/27/2016,184.00,,,184.00,0.00,0,0,0
12/26/2016,184.00,184.00,184.00,184.00,-7.54,"3,026","556,784","556,784"
12/23/2016,199.00,,,199.00,0.00,0,0,0
12/22/2016,199.00,,,199.00,0.00,0,0,0
12/21/2016,199.00,,,199.00,0.00,0,0,0
12/20/2016,199.00,,,199.00,0.00,0,0,0
12/19/2016,199.00,,,199.00,0.00,0,0,0
12/16/2016,199.00,,,199.00,0.00,0,0,0
12/15/2016,199.00,,,199.00,0.00,0,0,0
12/14/2016,199.00,,,199.00,0.00,0,0,0
12/13/2016,199.00,,,199.00,0.00,0,0,0
12/12/2016,199.00,,,199.00,0.00,0,0,0
12/9/2016,199.00,199.00,199.00,199.00,-2.93,"2,031","404,169","404,169"
12/7/2016,205.00,205.00,205.00,205.00,-19.92,"1,605","329,025","329,025"
12/6/2016,256.00,256.00,256.00,256.00,-20.00,2,512,512
12/5/2016,320.00,,,320.00,0.00,0,0,0
12/2/2016,320.00,,,320.00,0.00,0,0,0
12/1/2016,320.00,,,320.00,0.00,0,0,0
11/29/2016,320.00,320.00,320.00,320.00,0.00,995,"318,400","318,400"
11/28/2016,320.00,,,320.00,0.00,0,0,0
11/25/2016,320.00,,,320.00,0.00,0,0,0
11/24/2016,320.00,,,320.00,0.00,0,0,0
11/23/2016,320.00,,,320.00,0.00,0,0,0
11/22/2016,320.00,,,320.00,0.00,0,0,0
11/21/2016,320.00,,,320.00,0.00,0,0,0
11/18/2016,320.00,,,320.00,0.00,0,0,0
11/17/2016,320.00,,,320.00,0.00,0,0,0
11/16/2016,320.00,,,320.00,0.00,0,0,0
11/15/2016,320.00,,,320.00,0.00,0,0,0
11/14/2016,320.00,,,320.00,0.00,0,0,0
11/11/2016,320.00,,,320.00,0.00,0,0,0
11/10/2016,320.00,,,320.00,0.00,0,0,0
11/9/2016,320.00,,,320.00,0.00,0,0,0
11/8/2016,320.00,,,320.00,0.00,0,0,0
11/7/2016,320.00,,,320.00,0.00,0,0,0
11/4/2016,320.00,,,320.00,0.00,0,0,0
11/3/2016,320.00,,,320.00,0.00,0,0,0
11/2/2016,320.00,,,320.00,0.00,0,0,0
11/1/2016,320.00,,,320.00,0.00,0,0,0
10/31/2016,320.00,,,320.00,0.00,0,0,0
10/28/2016,320.00,,,320.00,0.00,0,0,0
10/27/2016,320.00,320.00,320.00,320.00,3.90,5,"1,600","1,600"
10/26/2016,308.00,,,308.00,0.00,0,0,0
10/25/2016,308.00,,,308.00,0.00,0,0,0
10/21/2016,308.00,308.00,308.00,308.00,14.07,60,"18,480","18,480"
10/20/2016,270.00,,,270.00,0.00,0,0,0
10/19/2016,270.00,270.00,270.00,270.00,2.66,20,"5,400","5,400"
10/18/2016,263.00,263.00,263.00,263.00,2.73,20,"5,260","5,260"
10/17/2016,256.00,,,256.00,0.00,0,0,0
10/14/2016,256.00,,,256.00,0.00,0,0,0
10/13/2016,256.00,,,256.00,0.00,0,0,0
10/12/2016,256.00,,,256.00,0.00,0,0,0
10/10/2016,256.00,,,256.00,0.00,0,0,0
10/7/2016,256.00,,,256.00,0.00,0,0,0
10/6/2016,256.00,,,256.00,0.00,0,0,0
10/5/2016,256.00,,,256.00,0.00,0,0,0
10/4/2016,256.00,,,256.00,0.00,0,0,0
10/3/2016,256.00,,,256.00,0.00,0,0,0
9/30/2016,256.00,,,256.00,0.00,0,0,0
9/29/2016,256.00,,,256.00,0.00,0,0,0
9/28/2016,256.00,,,256.00,0.00,0,0,0
9/27/2016,256.00,,,256.00,0.00,0,0,0
9/26/2016,256.00,,,256.00,0.00,0,0,0
9/23/2016,256.00,,,256.00,0.00,0,0,0
9/22/2016,256.00,,,256.00,0.00,0,0,0
9/21/2016,256.00,,,256.00,0.00,0,0,0
9/20/2016,256.00,,,256.00,0.00,0,0,0
9/19/2016,256.00,,,256.00,0.00,0,0,0
9/16/2016,256.00,,,256.00,0.00,0,0,0
9/15/2016,256.00,,,256.00,0.00,0,0,0
9/14/2016,256.00,,,256.00,0.00,0,0,0
9/13/2016,256.00,,,256.00,0.00,0,0,0
9/12/2016,256.00,256.00,256.00,256.00,0.00,240,"61,440","61,440"
9/9/2016,256.00,,,256.00,0.00,0,0,0
9/7/2016,256.00,,,256.00,0.00,0,0,0
9/6/2016,256.00,,,256.00,0.00,0,0,0
9/5/2016,256.00,,,256.00,0.00,0,0,0
9/2/2016,256.00,,,256.00,0.00,0,0,0
9/1/2016,256.00,,,256.00,0.00,0,0,0
8/31/2016,256.00,,,256.00,0.00,0,0,0
8/30/2016,256.00,,,256.00,0.00,0,0,0
8/29/2016,256.00,,,256.00,0.00,0,0,0
8/26/2016,256.00,,,256.00,0.00,0,0,0
8/25/2016,256.00,,,256.00,0.00,0,0,0
8/24/2016,256.00,,,256.00,0.00,0,0,0
8/23/2016,256.00,,,256.00,0.00,0,0,0
8/22/2016,256.00,,,256.00,0.00,0,0,0
8/19/2016,256.00,,,256.00,0.00,0,0,0
8/18/2016,256.00,,,256.00,0.00,0,0,0
8/17/2016,256.00,,,256.00,0.00,0,0,0
8/16/2016,256.00,,,256.00,0.00,0,0,0
8/15/2016,256.00,,,256.00,0.00,0,0,0
8/12/2016,256.00,,,256.00,0.00,0,0,0
8/11/2016,256.00,,,256.00,0.00,0,0,0
8/10/2016,256.00,,,256.00,0.00,0,0,0
8/9/2016,256.00,,,256.00,0.00,0,0,0
8/8/2016,256.00,,,256.00,0.00,0,0,0
8/5/2016,256.00,,,256.00,0.00,0,0,0
8/4/2016,256.00,,,256.00,0.00,0,0,0
8/3/2016,256.00,,,256.00,0.00,0,0,0
8/1/2016,256.00,,,256.00,0.00,0,0,0
7/29/2016,256.00,,,256.00,0.00,0,0,0
7/28/2016,256.00,,,256.00,0.00,0,0,0
7/27/2016,256.00,,,256.00,0.00,0,0,0
7/26/2016,256.00,,,256.00,0.00,0,0,0
7/25/2016,256.00,,,256.00,0.00,0,0,0
7/22/2016,256.00,256.00,256.00,256.00,60.00,26,"6,656","6,656"
7/21/2016,160.00,,,160.00,0.00,0,0,0
7/20/2016,160.00,,,160.00,0.00,0,0,0
7/19/2016,160.00,,,160.00,0.00,0,0,0
7/18/2016,160.00,160.00,160.00,160.00,0.00,300,"48,000","48,000"
7/15/2016,160.00,,,160.00,0.00,0,0,0
7/14/2016,160.00,,,160.00,0.00,0,0,0
7/13/2016,160.00,,,160.00,0.00,0,0,0
7/12/2016,160.00,,,160.00,0.00,0,0,0
7/11/2016,160.00,,,160.00,0.00,0,0,0
7/8/2016,160.00,,,160.00,0.00,0,0,0
7/7/2016,160.00,,,160.00,0.00,0,0,0
7/6/2016,160.00,,,160.00,0.00,0,0,0
7/4/2016,160.00,,,160.00,0.00,0,0,0
7/1/2016,160.00,,,160.00,0.00,0,0,0
6/30/2016,160.00,,,160.00,0.00,0,0,0
6/29/2016,160.00,,,160.00,0.00,0,0,0
6/28/2016,160.00,,,160.00,0.00,0,0,0
6/27/2016,160.00,,,160.00,0.00,0,0,0
6/24/2016,160.00,,,160.00,0.00,0,0,0
6/23/2016,160.00,,,160.00,0.00,0,0,0
6/22/2016,160.00,,,160.00,0.00,0,0,0
